titulo,autor,genero,ISBN,ubicacion
Cien años de soledad,Gabriel García Márquez,Realismo mágico,872341,A1
1984,George Orwell,Distopía,873581,A2
El Gran Gatsby,F. Scott Fitzgerald,Novela contemporánea,734584,A3
Matar un ruiseñor,Harper Lee,Novela clásica,324152,B1
Los juegos del hambre,Suzanne Collins,Ciencia ficción,528946,B2
Mujer en punto cero,Nawal El Saadawi,Ficción feminista,824034,C1
Crónica de una muerte anunciada,Gabriel García Márquez,Novela corta,642074,C2
Siddhartha,Hermann Hesse,Novela espiritual,328554,C3
Los hombres me explican cosas,Rebecca Solnit,Ensayo feminista,628453,A4
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,Novela clásica,312745,A5
La carretera,Cormac McCarthy,Ciencia ficción postapocalíptica,965897,B4
El niño con el pijama de rayas,John Boyne,Ficción histórica,152436,B5
Orgullo y prejuicio,Jane Austen,Novela romántica,876537,C4
Ensayos,Michel de Montaigne,Ensayo filosófico,294543,C5
La sombra del viento,Carlos Ruiz Zafón,Novela histórica,686543,A6
El Hobbit,J.R.R. Tolkien,Fantasía,345675,A7
Los pilares de la Tierra,Ken Follett,Novela histórica,797076,B6
Crimen y castigo,Fyodor Dostoevsky,Novela psicológica,116243,B7
Las uvas de la ira,John Steinbeck,Ficción social,667464,C6
El retrato de Dorian Gray,Oscar Wilde,Novela gótica,983539,C7
La ladrona de libros,Markus Zusak,Novela histórica,251522,B3